,Location
1464,Karen
1465,General Mathenge
1466,Mbaazi Avenue
1467,lavington
1468,Nyari
1469,KINGARA ROAD
1470,Kileleshwa
1471,Runda
1472,Parklands
1473,Rhapta rd
1474,General Mathenge
1475,Kilimani
1476,Kiambu Road
1477,Kiambu Road
1478,Parklands
1479,Spring Valley
1480,New Kitisuru
1481,Runda
1482,Fourways Junction Estate
1483,Westlands Area
1484,gigiri
1485,Kileleshwa
1486,Ruaraka
1487,Westlands Area
1488,kileleshwa
1489,Westlands Area
1490,Gigiri
1491,Kileleshwa
1492,Westlands
1493,Thika Road
1494,Spring Drive
1495,Valley arcade
1496,Dennis Pritt
1497,Runda
1498,Westlands Area
1499,Off UN Avenue
1500,Ring Road Parklands
1501,Kirawa road
1502,Spring Valley
1503,Runda
1504,GREVILLEA GROVE
1505,Kitisuru
1506,Lavington
1507,Loresho Ridge
1508,Runda Mimosa
1509,Runda
1510,lavington
1511,lavington
1512,Baba Dogo Road
1513,Kabasiran
1515,Runda
1516,Upper Hill
1517,Kileleshwa
1518,Rhapta Road
1519,Westlands Area
1520,Lavington
1521,kilimani
1522,Hatheru Road
1523,Westlands Area
1524,Kiambu Road
1525,Westlands off Expressway
1526,Kiambu Road
1528,Lower Kabete
1529,General Mathenge
1530,Kilimani
1531,kilimani
1532,Brookside Drive
1533,Westlands Area
1534,Kileleshwa
1535,milimani
1536,Spring valley
1537,Kileleshwa
1538,Riverside
1539,Riverside
1540,Parklands
1541,Lavington
1542,Kilimani
1543,Industrial Area
1544,riverside
1545,Rhapta rd
1546,Kileleshwa
1547,Kugeria rd
1548,Riverside drive
1549,Ngong road
1550,Kileleshwa
1552,kileleshwa
1553,Mombasa Road
1554,Runda
1555,Thika Road
1556,Nyari
1557,Lavington
1558,Kitisuru
1559,Lavington
1560,Westlands Area
1561,Two rivers
1562,Spring valley
1563,Westlands Area
1564,Kitisuru
1566,Runda
1567,Kilimani
1568,Lavington
1569,Lavington
1570,Valley Arcade
1571,Waiyaki Way
1572,Runda
1573,Lavington
1574,Industrial Area
1575,Brookside
1577,Rhapta Road
1578,Runda
1579,Karen
1580,Rhapta road
1581,lavington
1582,Runda
1583,Kitisuru
1584,James Gichuru Road
1585,Riara Road
1586,Muthaiga north
1587,Mountain view
1588,Lavington
1589,Westlands Area
1590,Rhapta rd
1591,Westlands Area
1592,lavington
1593,Fourways Junction Estate
1594,Lavington
1595,Westlands Area
1596,Ngong road
1597,Riverside
1598,lavington
1599,Westlands
1600,Muthaiga
1601,Riverside
1602,Lantana Road
1603,Kyuna
1604,kiambu road
