,Location
1858,Riverside
1859,Lavington
1860,Kileleshwa
1861,Lower
1862,Garden
1863,Nyari
1865,N/a
1866,Spring
1867,Runda
1868,Runda
1869,Rhino
1870,Westlands
1871,Westlands
1872,Lavington
1873,Industrial
1874,Waiyaki
1875,Limuru
1876,Kilimani
1877,Kileleshwa
1878,Mugumo
1879,Nyeri
1880,Muteero
1881,Karen
1882,Fourways
1883,Church
1884,Runda
1885,Westlands
1886,Maziwa
1887,Kileleshwa
1888,Kilimani
1889,Lavington
1890,Off
1892,Riverside
1893,Ridgeways
1894,Convent
1895,Kileleshwa
1897,Ngong
1898,Kyuna
1899,Argwings
1900,Westlands
1901,Matumbato
1902,N/a
1903,Runda
1904,Kilimani
1905,Rhapta
1906,Lower
1908,Riverside
1909,Westlands
1910,Hurlingham
1911,Two
1912,Westlands
1913,Runda
1914,Riara
1915,Kyuna
1916,Riara
1917,Rhapta
1919,Runda
1920,Off
1921,Kilimani
1922,Fourways
1923,Parklands
1924,Kilimani
1925,Runda
1926,Riverside
1928,Karen
1929,Westlands
1930,Fourways
1931,Kyuna
1932,Rhino
1933,Mombasa
1934,Westlands
1935,Kileleshwa
1937,Muthangari
1938,Kitisuru
